Unnamed: 0,tweet_id,screen_name,tweet_text,reply_count,published_date,tweet_url,media_url,images,target,No,anotasi,image_urls
1296,1.45E+18,NanaJasser,Tenaaanggg.. Hari gini banyak kok kaum tulang lunak yg mau bantu pegangin. https://t.co/S07l3ljzy6,1,Fri Oct 08 15:18:30 +0000 2021,https://twitter.com/NanaJasser/status/1446495225212375040,['https://pbs.twimg.com/media/FBL7vb0VgAATcgD.jpg'],1446495225212375040_0.jpg,lgbt,1,,https://i.ibb.co/t2yLm6Z/48752f689585.jpg
3899,1.59E+18,netvaks,"Kerajaan Pajajaran, Majapahit, Mataram Kuno &amp; Pagaruyung adalah penganut Islam Hakikat (Spiritualisme). Bukan Hindu-Buddha apalagi animisme.

China datang dengan jubah Islam Syari'at (Material-isme), memfitnah Spiritualisme sbg ajaran sesat

🤣🤣🤣 https://t.co/7K4QTYHKNL",6,Mon Oct 31 14:21:04 +0000 2022,https://twitter.com/netvaks/status/1587087261275152384,['https://pbs.twimg.com/media/FgZ3c_WaUAA63er.jpg'],1587087261275152384_0.jpg,muslim,2,,https://i.ibb.co/TTWZzPB/f2329e850df0.jpg
3188,1.69E+18,chillinaris_inc,"Hingga lengser #AniesBaswedan ternyata tak jual saham bir milik Pemprov DKI‼️

*Take a beer..!! 🍺 🤠

| #AniesDidukungKoruptor #AniesGagal #AniesNgibul #dkijakarta https://t.co/pLizYRKiLx",1,Fri Aug 11 16:35:17 +0000 2023,https://twitter.com/chillinaris_inc/status/1690039193853194240,['https://pbs.twimg.com/media/F3Q5sGwacAACAwA.jpg'],1690039193853194240_0.jpg,muslim,3,,https://i.ibb.co/M9P45KR/f285d4d19122.jpg
2168,9.81E+17,davidridwanbetz,Bangsa indonesia khusus umat islam dan segenap garda Pancasila mungkin bisa saja sudah terbius oleh mekanisme pasar yg serba memakai cara kapitalis /Neolib sehingga para kelompok pedagang Cina pemilik modal disamakan seperti tuhan oleh warga hedonis/korup yg dibawah kendali mrk https://t.co/pB5upMai1T,0,Wed Apr 04 11:46:01 +0000 2018,https://twitter.com/davidridwanbetz/status/981498120205885441,['https://pbs.twimg.com/media/DZ77Ut0V4AA1-Uf.jpg'],981498120205885441_0.jpg,cina,4,,https://i.ibb.co/4Z5wL3M/1263af0c2156.jpg
1381,1.63E+18,kstewhbu,THIS TYPE OF KRIS10 MAKES ME KSJDNSJSNSNSJS https://t.co/raq2WM13Oh,1,Sat Mar 04 16:20:55 +0000 2023,https://twitter.com/kstewhbu/status/1632053516339486726,['https://pbs.twimg.com/media/FqY4BDQXoAAeR9C.jpg'],1632053516339486726_0.jpg,nonislam,5,,https://i.ibb.co/J5RQ3Ms/4eb0a4234a3b.jpg
2309,1.64E+18,Hilmi28,"Ada yg bertanya dgn tendensi mendebat sy ttg eljibiti. Tak kena walau sy cerita bgmn kaum2 terdahulu Allah binasakan. Dia brkta “knp ust tdk mendukung cinta sejenis, itukan HAM. Cinta ttplah cinta yg hrs dihormati. Sy jwb “Air ttplah air. Tp knp kalian tdk minum air dari toilet?” https://t.co/l3klvQxGL8",32,Thu Apr 06 21:13:26 +0000 2023,https://twitter.com/Hilmi28/status/1644085930570174465,['https://pbs.twimg.com/media/FtD3cB5aAAU1HlO.jpg'],1644085930570174465_0.jpg,lgbt,6,,https://i.ibb.co/k1FxzQH/35dea92870b1.jpg
2528,1.76E+18,bola_bini,"Nih klub ngawur banget.

Masa kampanye kaum pelangi pakai akun cabang Arab 😭 https://t.co/tGtkhVy8vN",0,Mon Feb 19 12:27:36 +0000 2024,https://twitter.com/bola_bini/status/1759555332689609118,['https://pbs.twimg.com/media/GGsyP79agAAKaAl.jpg'],1759555332689609118_0.jpg,lgbt,7,,https://i.ibb.co/R48ZgvQ/0c00cc2d6125.jpg
1135,1.72E+18,sahabatalaqsha,"Zionis Katahuan Ngibul! 

Jubir Militer Zionis Daniel Hagari siarkan laporan seorang serdadu yg temukan daftar nama2 teroris yg ia temukan di basement RS Al-Rantisi, yang tak lain adalah kalender dengan daftar nama-nama hari dalam bahasa Arab. 

@One_Dawah | @sahabatalaqsha https://t.co/fyvdFcjyd7",218,Tue Nov 14 06:27:43 +0000 2023,https://twitter.com/sahabatalaqsha/status/1724313142069706913,"['https://pbs.twimg.com/ext_tw_video_thumb/1724313078400167936/pu/img/CzA_uFOnL53PczNe.jpg', 'https://pbs.twimg.com/media/F-39qWSaEAAvgZc.jpg', 'https://pbs.twimg.com/media/F-39qjSbAAAfton.jpg']",1724313142069706913_1.jpg,arab,8,,https://i.ibb.co/ctmKTBz/1e171c239111.jpg
4025,1.74E+18,ismailfahmi,"Perbandingan Malaysia dan Indonesia dalam hal pengungsi Rohingya

Apa bedanya? Salah satunya dr jumlah yang ditampung. Malaysia nampung 105 ribu orang lebih. Indonesia paling sedikit, 859 orang. 

Etnis mana aslinya? Selama masih dari spesies manusia, bukan alien yang terdampar, https://t.co/uAfrFIGR6y",51,Mon Jan 01 21:50:52 +0000 2024,https://twitter.com/ismailfahmi/status/1741940075737608656,['https://pbs.twimg.com/media/GCydQcwaMAACUU2.jpg'],1741940075737608656_0.jpg,rohingya,9,,https://i.ibb.co/r71JryY/4bfb0e807762.jpg
3531,1.72E+18,Yattie2023,"Di tunggu y KLARIFIKASINYA Bpk. Agus Subianto @tni_ad @Puspen_TNI  untuk adegan temu kangen di bwh ini apa maksudnya?? 😂

MENGHORMATI Habib yg baik itu baguss.. 

Tp bukan habib sesat yg punya track record mntan terpidana pernah mnganiaya anak di bwh umur.. 👨👨 https://t.co/0DZ84qBpBi",0,Mon Nov 13 07:08:18 +0000 2023,https://twitter.com/Yattie2023/status/1723960967657377808,['https://pbs.twimg.com/media/F-y9XIKawAAXBXw.jpg'],1723960967657377808_0.jpg,muslim,10,,https://i.ibb.co/bFn9Kdt/e71ded8e2765.jpg
